lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
0.08075777,4.026522,8.075776,-0.722785,-0.22326468,-0.12659809
-0.061615184,3.7633119,9.393025,-0.30007872,0.41797224,-0.05222744
-0.8536395,3.723232,10.451849,-0.024281178,0.500742,0.059404895
-1.1623136,2.111666,11.839686,-0.20310672,0.062764555,0.34039465
-1.625923,1.474577,8.536395,0.52990997,-0.020616096,0.39491275
-1.6875381,2.0524435,8.717052,0.15194826,0.28770906,0.7612684
-1.0911272,2.6344976,8.431708,-0.21410197,-0.02535016,0.5891622
-0.8003992,2.8965118,7.380063,-0.32527617,0.17882554,0.36116344
-0.9696914,2.964109,9.461221,-0.19821994,-0.05635066,0.24265908
-1.096511,3.17049,12.108879,-0.2519745,-0.067193195,-9.162709E-4
0.41515473,0.9637093,13.19881,-0.34482327,-0.7262974,0.014660334
0.7262217,0.92662054,7.5529447,0.6221479,-0.26419145,-0.027182704
1.3274183,1.0103694,8.84806,0.29137415,0.26724568,-0.046118967
0.025124637,1.9136599,7.6259255,-0.25487602,0.08551861,0.009773556
-0.31106696,2.9042885,8.283952,-0.47814068,0.13011047,0.23181653
0.36430725,2.7212377,9.479167,-0.46577105,0.074217945,0.31779328
1.0025927,2.2857437,11.2755785,-0.22005773,0.3605526,0.14248012
-0.8327023,0.63888365,13.071392,-0.67406994,0.47218493,0.16050012
-1.7718852,0.41694933,8.438888,0.4379775,-0.7951704,0.24785128
-1.2837493,-0.4235296,9.339785,0.20493926,-0.13423368,0.5932854
-0.3182454,0.715454,8.0404825,-0.3669665,-0.42744038,0.51112646
0.80757767,0.85184485,8.583653,-0.41781953,-0.105982,0.32787228
1.2867404,1.2227324,9.783055,0.18233791,0.17485502,-0.109188944
0.77407813,1.3190435,10.605588,0.7275191,0.7075138,-0.3839175
-0.8285148,-0.4989035,16.151552,-0.37933615,0.011606098,-0.18203248
-0.07477571,0.80757767,7.251449,0.20875706,-0.5879405,-0.388957
-1.7395821,-0.09092726,9.708878,-0.2987043,0.42041564,0.34818295
0.40498522,1.0145568,7.7407813,-0.18386503,-0.07131642,0.39201123
1.7042879,2.1816561,9.311669,-0.16783029,0.00671932,0.19592926
0.52522457,1.4470595,11.870793,0.04214846,0.37887803,0.26296973
-1.5050855,-0.31944183,13.024134,-0.31962582,0.530979,0.0503949
-2.2851455,-0.08793623,9.072387,0.8063184,-0.12507097,0.34558684
-0.3684947,0.7501499,8.274381,0.22723518,-0.054976255,0.804944
0.4139583,0.68195444,8.056036,-0.09910997,-0.09407048,0.5596888
0.039481573,1.7922242,8.656634,-0.10827268,-0.16340165,0.11407573
-0.032303106,1.561915,12.293725,0.30939415,0.20020519,-0.20631365
0.2973082,-0.41874397,15.224933,-0.26831466,-0.12033691,-0.23823044
1.0594223,1.1587243,8.300103,0.026724568,-0.30420193,-0.35612395
0.28773692,1.2035898,8.709276,0.19333316,0.3049655,-0.1757713
0.23748764,1.7515461,8.412566,-0.15530792,0.020463383,0.042759307
0.62811595,2.388037,8.595617,-0.18172707,-0.009315421,0.11392301
0.65922266,2.7206392,10.412966,-0.03802524,0.335966,0.106440134
-0.276371,1.7461623,10.919646,-0.2249445,0.16217995,0.081700824
-1.5702899,0.07238288,11.000404,0.34558684,0.068567604,0.20906247
-1.268196,0.634098,9.099306,-0.05054761,-0.16385978,0.38834614
-0.20039889,1.2005987,8.105687,-0.0013744063,-0.05131117,0.39643988
0.04007978,1.4673985,8.323434,-0.18065807,-0.031611346,0.29641363
0.465404,1.4829519,10.411171,0.020005248,-0.1913479,-0.13973132
0.08075777,1.4901303,10.51825,0.1279725,-0.10766183,-0.03603999
0.29790643,-0.02632105,11.259427,0.36910444,0.3151972,-0.06963659
1.3208381,0.63170516,9.922438,0.22937314,-0.051158458,-0.5790832
0.18604197,1.1533405,9.315857,-0.14400724,-0.07513421,-0.19837265
0.3804588,2.3401806,7.7001033,0.11468657,-0.13988402,-0.20127417
-0.424726,3.2536407,8.718249,0.18844637,-0.095597595,0.081395395
1.2335001,1.7066808,10.802996,-0.033749312,0.19333316,0.30160582
-1.0097711,0.19800608,13.531412,-0.65895146,0.6803311,0.30435464
-0.9607183,0.8644072,8.491529,0.55006796,-0.300995,0.11880979
-0.7405786,0.3481557,8.505886,0.05390727,-0.33306447,0.49387002
0.032901313,1.375873,8.042277,0.082006246,0.030236939,0.092237934
-0.2961118,2.5435705,8.895916,-0.11987878,-0.16340165,0.018630842
0.081954174,2.6434708,10.134202,0.44500223,0.19455485,-0.10750912
-0.30149564,2.5704896,10.479366,0.30466008,0.45447037,-0.17271706
0.24586253,1.975275,10.61157,-0.45569205,-0.6128325,-0.109188944
0.73340017,1.439881,9.112467,0.3854446,-0.09544489,-0.27564484
0.0526421,1.3495519,9.010772,0.19027892,-0.23578705,-0.09101624
0.38823548,2.565106,7.8813596,-0.072996244,-0.09300149,0.062459134
0.22971097,3.1322048,9.569496,-0.16294351,0.12705623,0.1085781
0.5521438,3.1375887,11.237891,-0.118962504,-0.19073705,-0.015576605
-1.416551,1.5451652,11.207383,-0.404839,0.17928366,0.4654656
0.016151553,0.381057,8.874381,0.13484453,-0.211964,0.53739285
0.32362926,2.0458634,8.149356,-0.10689827,-0.13744064,0.3051182
0.020937199,2.6069803,8.550154,-0.34161633,0.0387888,0.18401773
-0.005383851,1.7694924,9.143574,-0.10964708,0.4306473,0.06230642
0.5210371,2.009971,12.146566,0.3955236,0.045966256,-0.31764057
-0.567099,0.56769717,14.005789,-0.3813214,0.20524468,0.12247488
1.1234303,0.95473623,9.006584,0.36131614,-0.33581328,-0.08261709
0.2739782,1.1718849,9.663414,0.3402419,0.24846213,-0.16981554
1.0869397,1.8496519,8.103293,-0.17241164,-0.42224815,0.15546063
0.82612205,2.3545375,9.24826,0.13866232,0.017561859,0.019852536
1.0055838,2.1332014,11.190035,0.24754585,-0.24235365,0.30817243
0.6023931,1.3579268,10.482358,-0.4793624,0.68552333,0.060168456
-0.6580262,0.94755775,10.713265,-0.23319094,-0.19989976,-0.007941014
-0.18185452,1.9507487,8.82473,0.38605547,-0.095597595,0.38697174
0.24765715,2.160719,8.139785,0.1227803,-0.21058959,0.34879377
-0.33379877,2.900101,8.465208,0.11056335,0.32527617,0.17103723
0.19680966,2.4017956,11.522637,0.05131117,0.12598725,-0.030389652
0.52582276,3.135196,9.854242,0.20997874,0.21685077,-0.18035266
0.34516466,1.7108682,9.862019,-0.1643179,-0.2015796,-0.057114217
1.338186,1.911267,8.812766,0.14171657,0.13041589,-0.3440597
0.19800608,2.0291135,8.745767,-0.158973,0.030389652,-0.14339639
0.5593223,2.4358935,8.147561,-0.12843063,-0.0839915,-0.042759307
0.17587246,3.2219357,9.1974125,0.033443887,0.02443389,0.09239065
0.65024954,2.6991038,11.453245,0.05375456,-0.016798299,0.069178455
-0.78065836,2.2007985,10.167702,-0.54502845,-0.04703524,0.17867282
-0.99302137,1.5816557,9.554541,-0.03771982,0.105371155,0.31901497
-0.42592242,1.6953149,8.739784,-0.07711947,-0.038483378,0.52273256
0.12143575,2.2384856,8.307282,-0.04214846,0.008551862,0.26907822
-0.47377887,2.4263222,9.492926,-0.041079476,0.08551861,0.17821468
0.20937198,2.1888344,12.396018,0.24342263,-0.03268033,-0.106440134
-0.29491538,2.9180472,10.398011,-0.21501824,0.89870906,-0.18966807
0.23509483,1.4153546,9.352945,-0.2869455,-0.47737715,-0.24464433
0.31764722,1.8047864,9.070593,0.027335415,0.29839888,-0.2817533
0.6723832,1.3435699,8.487342,-0.27564484,-0.28648737,-0.11163234
0.317049,1.9310079,7.872985,-0.3319955,-0.01343864,-0.37063158
-0.022731815,2.714059,11.766108,-0.23166382,-0.3103104,-0.26480228
0.26679972,2.7972097,11.502298,0.562743,0.18142164,-0.12613995
-1.1324034,-0.025722843,11.270793,-0.3542914,-0.735002,0.42850935
-1.1497513,0.46660042,9.189635,0.7627955,0.35138988,0.43385425
0.124426775,1.1850454,8.528618,-0.118198946,0.0051922016,0.35368055
-0.08973085,1.9920249,8.260622,-0.116519116,0.10323319,0.1525591
0.16390835,2.1541386,9.275777,0.044133715,0.0503949,0.04459185
-0.40438703,2.3952155,11.033305,0.36482853,-0.36437038,0.096208446
0.2739782,0.8919246,12.702897,-0.43324342,0.3814741,0.44301698
1.0929217,1.3435699,9.859028,0.38300124,0.17500775,0.09972081
0.37986058,1.3130615,8.946764,0.10491302,0.20631365,-0.06261184
-0.15134603,1.8167506,8.538189,0.0027488125,-0.0053449133,-0.12781979
-1.451247,2.8426733,9.229715,-0.04795151,-0.17012095,0.42866206
0.08075777,2.3539393,11.19841,0.070552856,0.2583884,0.7971557
-1.1222339,2.187638,9.515657,-0.3645231,0.5621322,0.7962394
-1.3974084,1.5906289,10.286146,0.3654394,0.012369657,0.6954496
-2.274976,2.4209383,7.7647095,-0.12186403,-0.08674031,2.120098
0.6113662,1.2514462,7.877172,-0.4497363,0.48165306,3.08936
1.7886349,1.1593226,8.7015,-0.3324536,0.5803049,1.9852536
1.2634103,1.4703895,9.701101,-0.73775077,0.6881194,1.2684244
1.7138592,0.5377869,12.329617,-0.5041017,0.64337486,0.95567054
1.4321043,-3.4432719,13.674383,0.5157078,-0.83502823,-1.4437375
1.1515459,-3.339184,10.082756,1.1279294,-1.0439379,-3.2683382
0.069391854,-3.004787,6.3655066,0.13072132,-1.0891407,-4.4315443
-2.0901306,-0.35653058,6.862615,0.8816053,0.57190573,-3.5487173
-3.2045877,1.5523437,8.34796,-0.17134266,-0.96116817,-3.483204
-3.7507496,3.9804604,9.534202,-0.42346987,-0.36864632,-1.8723996
-5.206782,3.0849466,12.014362,-1.4806937,-0.72141063,0.3127538
-3.3379877,1.6767704,10.719846,1.1202939,0.41140562,1.1810732
-0.50129634,1.0283155,8.941978,0.4291202,-0.13927318,1.4316733
0.8285148,1.969293,7.645068,0.14309096,-0.19852535,1.6163019
1.8053846,2.6434708,7.3292155,-0.12659809,-0.31962582,0.774707
1.2287145,3.507878,8.513663,0.04734066,0.13224843,-0.08185353
0.32542387,3.8291144,10.521839,-0.27564484,-0.17729841,-0.37399122
0.018544376,1.875973,12.64547,-0.15805672,0.24235365,-0.15133741
1.0917253,2.533401,9.0131645,0.46836713,-0.12308572,-0.23044212
0.9559326,2.0225334,8.346166,0.23319094,0.1783674,-0.5234961
0.5832505,2.2504497,6.782456,-0.2985516,-0.13117945,-0.39002597
0.34337005,2.7589245,7.359724,-0.87412244,-0.30313295,-0.1615691
0.86141616,2.5692933,9.424132,-0.9811734,0.23074755,0.025961008
-0.062213387,0.43429732,9.17468,-0.7446228,0.4266768,-0.18951537
0.48394838,-2.2277179,12.545569,0.09422319,-0.76096296,-0.11880979
-0.70648086,-1.5672989,9.477372,0.7907418,-0.37307495,0.5433486
0.22851457,0.25184458,7.0504518,0.26312247,-0.21517095,0.23945212
0.2632105,1.2203395,7.6683984,0.030084228,0.033138465,-0.06306998
0.25603202,1.5104693,9.605389,0.03268033,-0.21883602,-0.039246935
1.1413764,1.6378871,9.767502,0.008093726,0.24403349,-0.40163207
0.74835527,-0.60717875,11.066805,0.049936764,-0.06368083,-0.5002839
2.0153549,0.41814575,8.648857,0.5932854,-0.051769305,-0.3092414
0.78364944,-0.32482567,9.400802,0.14981028,-0.06306998,-0.09376506
1.1001002,0.9589237,6.591628,-0.0076355906,-0.13774605,-0.32955208
0.5886344,1.0492527,9.237492,-0.5622849,-0.09513946,-0.01343864
1.1904292,-0.26620153,11.569896,0.12629268,0.30786702,-0.406977
-0.098703936,0.93320084,10.624132,-0.8490777,0.22265382,-0.40544987
-0.8859426,-0.68494546,11.318051,-0.37551835,-0.15943113,0.33153734
-0.18065812,-1.5164514,8.319844,0.78386974,-0.23288552,0.33123192
0.48035914,-0.4971089,7.98126,-0.12446013,-0.687814,0.23685603
0.7531409,0.87278205,7.3806615,0.003206948,0.34818295,-0.28801447
0.5922236,0.42053857,11.623734,-0.1227803,-0.0056503373,-0.53800374
0.72023964,0.3272185,10.883754,-0.0056503373,0.77592874,-0.2597628
1.0989038,-1.1210374,10.679168,0.15210097,-0.38177955,-0.6540647
1.0654043,0.22851457,8.120044,0.5392254,-0.07131642,-0.77226365
0.74536425,-0.036490545,8.102695,0.19745637,-0.35108447,-0.6174139
0.071186475,1.75693,8.498708,-1.0083561,-0.7040015,-0.54227966
1.0959128,0.421735,11.626127,0.016034741,0.08154811,-0.19058435
1.1670992,0.590429,10.575678,-0.014965758,-0.119267926,0.03298575
1.317847,-0.89491564,9.613763,0.2157818,-0.0943759,-0.003206948
0.17407785,-0.31405798,10.009775,0.39262208,0.46867257,0.26663482
1.3208381,0.40857446,8.523832,-0.019241689,0.15851486,0.124001995
0.82013994,1.1072787,8.162517,-0.18554485,0.28847262,-0.103691325
1.1066805,0.6987042,9.836296,-0.08521319,0.20616095,-0.33764583
-0.47018966,-0.0047856453,12.479168,0.32344362,-0.10735641,-0.65879875
-0.56769717,-1.0983056,13.5074835,-0.70522314,0.15622419,-0.3126011
0.5054838,-0.36191443,8.886943,0.37246412,0.07956286,-0.7084301
-0.13339986,-0.23928227,8.374281,0.030542362,-0.099568106,-0.27701923
-0.13280165,0.64247286,8.243873,-0.018630842,-0.08078455,0.008399149
0.40438703,1.274178,9.156136,-0.010384403,0.13240114,0.3825431
