lsm6dso_accelerometer.x,lsm6dso_accelerometer.y,lsm6dso_accelerometer.z,lsm6dso_gyroscope.x,lsm6dso_gyroscope.y,lsm6dso_gyroscope.z
3.9023945,4.666004,6.928418,0,0,0
3.7396827,4.462614,7.02443,-0.07536328,0.3171061,0.38987327
3.2919257,4.1297126,7.234998,-0.17248799,0.37208232,0.25426516
2.9398818,3.679862,7.6755767,-0.27083442,0.46187687,0.17485502
2.868097,3.5288153,7.8574314,-0.2799971,0.5938199,0.10277505
3.1387851,3.4833515,7.7569327,-0.19814359,0.6347467,0.053296424
3.205784,3.4929228,7.1512494,-0.2073063,0.5418979,-0.052380152
3.141178,3.653541,6.9332037,-0.33924928,0.50891215,-0.084755056
3.2201412,3.844967,7.474281,-0.45286688,0.445384,-0.11529742
3.5838501,4.386044,7.7617183,-0.35268793,0.50036025,-0.20264858
3.612564,4.412365,7.646863,-0.3251998,0.5296809,-0.2997733
3.3637104,4.359723,7.5317082,-0.4180486,0.45271417,-0.37857258
3.1483564,4.2711883,7.7258263,-0.516395,0.30794337,-0.40422818
2.5283163,4.3645086,8.575577,-0.6275692,0.17416783,-0.396898
2.396412,4.261617,8.8701935,-0.6165739,0.20165595,-0.3541387
2.219343,3.8114674,9.004191,-0.5017347,0.36047623,-0.3541387
1.9199411,3.3493536,8.611469,-0.39544725,0.5718294,-0.38712445
1.8074784,2.8298118,7.993822,-0.3227564,0.7104917,-0.40667155
1.5993029,2.3653052,7.278069,-0.3807869,0.8424347,-0.4573719
0.933799,1.8720846,6.9930243,-0.5218926,0.9297859,-0.500742
0.15792629,1.3669,6.6652074,-0.5695387,0.98476213,-0.40606073
0.083748795,1.1826526,6.404091,-0.6587224,1.117316,-0.3321482
-0.80189466,-0.02632105,5.9973106,-1.0472213,1.1002122,-0.16844113
-0.96490574,-0.33529428,6.2772713,-1.1052518,0.9584957,-0.07559235
-0.8979067,-0.5554339,6.863812,-1.2396382,0.88397235,-0.033443887
-1.2424731,-0.7516454,6.916454,-1.2573527,1.0317974,-0.09208523
-1.9704895,-0.8596215,6.815955,-1.2488009,1.0971581,-0.08719844
-1.9127626,-0.80907315,6.550352,-1.5175737,1.5045931,-0.12140589
-2.8489544,-0.7923234,6.9355965,-1.9347824,1.998845,-0.3425326
-5.712266,-1.0725827,9.389735,-2.2102745,2.8790758,-0.48608172
-6.882954,0.083748795,8.525328,-2.5267696,3.9559996,-0.13240114
-6.241379,0.03589234,10.699207,-2.5921304,3.8631508,0.21394925
-6.1121664,0.148355,11.633006,-2.119869,3.6652362,0.35994175
-6.14088,0.12203395,9.282058,-1.9891478,3.4471638,0.2945811
-8.855837,0.023928227,12.272189,-2.2970147,3.2565794,0.49005222
-11.99193,0.1052842,16.377974,-1.524293,3.6475217,1.1626714
-12.312867,0.5913263,16.363617,-1.3837981,3.417843,1.5407859
-5.221438,4.156034,28.310083,0.83548635,4.1013813,1.5328448
-7.333104,-0.1363909,12.262618,1.516581,2.5791497,1.3831873
-6.36102,4.1871405,7.943573,-1.2133718,1.6084372,1.5554461
