X-Accelerometer,Y-Accelerometer,Z-Accelerometer,X-Gyroscope,Y-Gyroscope,Z-Gyroscope
-1.143649591,-0.02275806751,0.4034019369,0.2601554394,-1.890493631,-0.8934049606
-0.7654743038,0.457843429,-0.09195523012,0.4449833333,-1.978541374,-0.8981088996
0.4133613132,0.4618167165,-0.8981476941,0.5463092327,-2.433359861,-0.758980453
1.856432462,0.2685825476,-2.004804868,0.6885017753,-2.640402555,-0.4412650466
1.983759157,0.5018678641,-2.606958276,0.8240074515,-2.254448652,-0.1273711026
1.044126191,0.8895090451,-1.814780893,0.8001282215,-1.628612518,0.05832099169
0.3365055986,0.9262567673,-0.6449135223,0.5333240628,-1.000261307,0.117814526
0.06817717191,0.5167430694,0.7774088526,0.03100476786,-0.4588407278,0.1293169856
-0.3417132503,0.220060801,2.230681662,-0.5195934772,0.1305902451,0.08738408238
-0.9406010806,0.08874912755,2.584659935,-0.980389297,0.5369478464,-0.01448449306
-0.7977573017,-0.05170826767,1.912530489,-1.239638925,0.6557880044,-0.07700736076
-0.3251682851,-0.2270379466,0.4783277063,-1.264563441,0.604917109,-0.06779842079
-0.08442812255,-0.3404328551,-0.8052800253,-1.069930434,0.5690079927,-0.03325278312
-0.2721507615,-0.5211658543,-1.460547184,-0.7689812779,0.5827491283,-0.03630503267
-0.3964786405,-0.8004325853,-1.573541695,-0.5115734935,0.6680002809,-0.03719213977
1.279867084,-0.5326090394,-0.9272814341,-0.3466817737,0.4595802426,0.05472233519
1.905380909,-0.4588406233,-0.4352940358,-0.355075568,0.3060128093,0.1568778157
1.773132539,-0.4991510064,0.5219914915,-0.4468150735,-0.006104627624,0.2627909184
1.330680156,-0.2594461782,0.7609919708,-0.50145787,-0.1328608394,0.3114913702
0.1914387369,0.0176680509,0.4707663312,-0.4896414578,-0.116185464,0.2867732346
-0.6446251338,-0.273031636,-0.2829331445,-0.3901593983,-0.06689485908,0.2020242214
