accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z
-0.3154553579,0.1481749839,0.7274252168,-0.06601572782,-0.1982316226,0.1260370612
-0.3806009071,0.134476275,0.7142331422,-0.09350460768,-0.2072560042,0.1183839366
-0.5438303983,0.08055142725,0.7113105328,-0.1110190228,-0.2063184977,0.1041494906
-0.7183160276,0.04276208708,0.7112520806,-0.1110275462,-0.2211935967,0.09530965984
-0.7221779638,0.164726671,0.6204360836,-0.08414205909,-0.2946480811,0.07592416555
-0.6068631931,0.3534190318,0.5927332532,-0.01810818538,-0.4197045267,0.04897244275
-0.5025622761,0.4989741155,0.7254857731,0.0648560822,-0.5558788776,0.04661833122
-0.4582990638,0.5882729128,0.8599141173,0.1545715928,-0.7029995918,0.08614069968
-0.3582417758,0.6556195522,0.9483931958,0.2357227206,-0.8820861578,0.1571101248
-0.2966621024,0.7097787932,1.129123272,0.3234222233,-1.071323514,0.24845469
-0.3000327479,0.8108369288,1.290750005,0.4161745906,-1.28362751,0.3643194139
-0.2303130227,0.9653238723,1.370049167,0.5148436427,-1.517269492,0.4940366745
-0.1525856399,1.070117833,1.575119904,0.6318225861,-1.738278627,0.6360762715
-0.1440431448,1.150413898,1.897703506,0.7776005268,-1.915967703,0.7849419117
-0.1817415918,1.30144091,2.237140628,0.9246116877,-2.070001364,0.9288569093
-0.2289414421,1.507148192,2.471447397,1.053284645,-2.229290962,1.071229219
-0.1364829386,1.762125115,2.570238611,1.172749758,-2.403308392,1.160897851
-0.02039455325,1.99658006,2.812141826,1.272856951,-2.556777,1.208600998
0.04745820901,2.104202231,3.144443104,1.337676644,-2.683811665,1.264998794
0.04423924696,2.072584126,3.25946123,1.313007236,-2.778243065,1.343529582
0.09393851289,1.962649149,3.230641378,1.187281966,-2.863911867,1.453826189
0.242931389,1.937726451,3.15007848,1.012322426,-2.930950642,1.593402147
0.4958873284,2.10943604,3.023042,0.8243408203,-2.978010416,1.73931396
0.7440770763,2.345034601,2.897785388,0.6793527603,-3.001014233,1.889781713
0.8399643852,2.527767542,2.718843949,0.5900176764,-3.028759956,2.066896677
0.9198550835,2.636241361,2.309403901,0.5440299511,-3.081538439,2.24847579
0.9755717101,2.665918414,1.797817483,0.5564735532,-3.163666248,2.398750782
0.8762684553,2.631773568,1.39496675,0.5979536772,-3.247032642,2.508261681
0.5846306108,2.503201256,0.8439151687,0.6408652663,-3.343414545,2.578665733
0.1965489925,2.388447919,0.2140770504,0.657178998,-3.423689842,2.617400169
-0.5076198518,2.344049097,-0.3278834624,0.7250787616,-3.429706812,2.61571312
-1.21189391,2.444823594,-0.6185317113,0.8953332901,-3.316352367,2.525339603
-1.441770587,2.666660465,-1.063953173,1.134588361,-3.198325634,2.385839224
-1.254526014,2.795401119,-1.618382707,1.368835449,-3.104747534,2.263597965
-0.8974585428,2.662226866,-1.919374655,1.556026459,-3.024941206,2.254234314
-0.4620329896,2.333877248,-2.155346142,1.648303628,-2.950515032,2.358903885
-0.1402741476,2.108911431,-2.395047463,1.64785707,-2.893977642,2.54348278
