Accel x,Accel y,Accel z,Gyro x, Gyro y,Gyro z
-0.476559381,-1.238145957,0.938307855,-0.206353635,-0.060888737,-0.049651269
-0.523049184,-1.455336463,0.930006475,-0.167238459,-0.058907345,0.001964254
-0.343607393,-1.661153927,0.808052997,-0.129988492,0.036908578,0.069530882
-0.141737352,-1.504164792,0.536246227,-0.025546368,0.11406938,0.127027676
-0.134017133,-1.286052787,0.228965407,0.144299924,0.088294238,0.178723618
-0.144671615,-1.210264555,0.073181556,0.290726483,0.087045573,0.244025856
-0.047557432,-1.140972116,-0.027516952,0.420171022,0.241293192,0.322160602
-0.076415971,-0.991887762,-0.165073073,0.584250152,0.387094319,0.401503831
-0.288690795,-0.949992448,-0.230522574,0.786096454,0.410028905,0.476075798
-0.509466649,-0.951299731,-0.126019997,0.941924691,0.417375654,0.514170468
-0.738409552,-0.810073105,0.10625965,1.024241447,0.402478188,0.479644716
-0.967665029,-0.667813921,0.461224011,1.017202854,0.313126236,0.427785784
-0.970378087,-0.786984198,0.750024002,0.926021218,0.229068339,0.371106535
-0.915619053,-0.917023075,0.811641962,0.800933719,0.181534946,0.341373771
-0.912379049,-0.902100816,0.838615893,0.666978836,0.111850671,0.314953595
-0.984319665,-0.836673527,0.891390037,0.551182628,0.020456444,0.290861011
-1.07532227,-0.819947725,0.786976891,0.441816479,-0.092260517,0.246135086
-1.159978137,-0.780711401,0.795356597,0.376684874,-0.236969069,0.175312921
-1.098731934,-0.862407688,0.561307018,0.350815445,-0.448673338,0.108066246
-0.853736452,-0.963777227,0.129964351,0.332950324,-0.676798642,0.059506901
-0.611138678,-0.880279444,-0.10032383,0.346541762,-0.882121205,0.040237334
-0.398935569,-0.808701524,-0.374519541,0.376635015,-0.991828561,0.051239304
-0.238209475,-0.737688252,-0.558349922,0.443064928,-0.964805722,0.10503649
-0.098203623,-0.735413293,-0.628553924,0.536605775,-0.840120852,0.182219058
0.011870471,-0.762948366,-0.552979919,0.634548068,-0.611952662,0.269313246
0.105797878,-0.746743957,-0.385559406,0.707842171,-0.295101017,0.374805063
0.141242993,-0.717675976,-0.108780108,0.694565296,0.07043194,0.515804589
0.165449067,-0.696574736,0.231915489,0.58197403,0.383921176,0.688228309
