lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-2.748755,3.3631122,8.427522,-0.06383354,-0.43309072,-0.08383878
-3.3906298,3.3242288,8.1942215,-0.09162709,-0.7049177,-0.024281178
-3.190829,3.5294135,8.9348,-0.014813046,-0.97155255,0.1563769
-2.137389,3.464209,9.397213,0.07207998,-0.9923214,0.19058435
-1.4494523,3.6029928,9.356535,0.31107396,-0.9155073,0.11850437
-0.2656033,3.245864,8.29472,0.19623469,-0.5247178,-0.0452027
-0.5623133,3.4289148,6.5072813,-0.36238512,-0.2365506,-0.27854636
-0.07776674,3.502494,7.804191,-1.1876398,-0.4782934,-0.6087093
-0.90448695,2.3192434,10.3017,-1.2181821,0.17042638,-0.68643963
-1.5732809,1.68694,6.6155562,-1.3140851,-1.1067026,-0.4743229
-0.9954142,0.9296116,5.7559347,-2.075659,0.06230642,0.118198946
-0.044865426,1.2137593,8.312666,-2.5925884,-1.2461284,0.4885251
1.1294123,-0.064008005,9.917053,-2.998802,-3.1663268,0.74126315
1.0247263,-1.3393825,9.868599,-3.1111977,-3.0351474,1.0721897
3.8590248,-1.2598212,10.968101,-2.2885392,-2.1750743,1.3628002
3.0909286,-1.7874385,16.4692,-0.9127585,-1.4075449,1.2094775
2.7218359,-4.194618,13.269997,0.4563029,2.1778233,0.43461782
2.1212373,-2.501098,12.848261,2.330535,2.7181175,0.38575006
1.6456637,-1.4799608,11.494522,3.6805074,1.7635161,0.29962057
0.34097722,0.45224348,8.1637125,4.182624,-0.2753394,0.14904673
2.0135603,0.8811569,3.0077782,1.8753011,-3.6576006,-0.87809294
2.3491535,-0.66759753,1.3351951,0.013591352,-2.5881598,-0.74416465
2.1601207,-0.71665037,4.2634115,-1.1421317,-2.4930203,-0.42209545
3.418147,-2.7511477,5.300102,-1.3278292,-3.0096445,-0.057266932
3.5252259,-4.946563,3.757928,-1.4342693,-3.6027772,0.4422534
5.3270216,-6.4474607,1.0881361,-1.7477868,-5.4449396,0.950631
5.7930236,-7.69113,-0.31226337,-2.3006034,-5.549242,1.4869549
5.8390856,-9.274581,0.20638095,-3.4781642,-5.0935497,1.995638
6.5635123,-10.865808,3.2135608,-4.391228,-4.1415443,2.6099975
7.314859,-12.568301,7.6570325,-4.59632,-3.3275905,2.9038153
6.663413,-13.357334,9.080164,-4.111002,-3.3332407,3.2332146
7.2233334,-14.56212,8.243274,-4.1578846,-3.2110713,3.7674005
8.625527,-15.224334,11.3168545,-4.296852,-2.238297,4.4370418
9.734601,-15.511473,13.162917,-3.6667633,-1.2180294,4.684893
11.567503,-14.423935,13.944174,-2.903357,-0.40774053,4.5454674
11.977274,-12.847065,14.746966,-1.7540479,-0.076355904,4.0508337
10.332209,-11.453844,14.584852,-0.7174401,0.13026318,3.7823663
11.2139635,-10.781461,11.578271,0.21486552,0.77241635,3.5940726
11.045868,-9.780065,8.942576,0.8014316,1.1790879,3.141282
9.166306,-8.764311,7.776674,1.271784,0.899778,2.7741628
9.322437,-8.804391,5.6871414,1.7483976,0.29274854,2.391925
8.707481,-8.782856,4.0797625,1.767792,0.092543356,1.7574075
8.01117,-7.8376904,2.7236304,1.3876922,0.40544987,0.997819
4.505685,-9.227323,5.3982077,1.8386502,0.8573241,0.5920637
0.5246264,-9.695119,3.1465619,2.007702,1.0086615,0.8913789
-0.9236295,-8.7266245,2.3012972,2.0164068,0.87839836,1.0952492
-0.0317049,-9.230313,1.9657038,1.9342479,0.65895146,1.2542222
0.36131623,-8.603394,0.5162515,1.710525,0.7611157,1.1001359
-1.4506488,-8.29113,-4.1437707,1.279725,0.8754968,0.9271134
-3.3385859,-7.861619,-6.0137615,-0.48226392,2.1065068,1.0063709
-2.4735804,-7.305886,1.1371889,-1.199704,1.9221836,1.0188932
-1.5086746,-6.6999035,2.0428724,-0.4344651,0.16477604,0.47585002
-4.165904,-5.639883,2.7768707,0.049478628,-1.1607625,0.12858334
-2.2145574,-7.850253,3.8781674,0.22845687,-1.2169604,-0.037414394
-1.9980069,-6.963114,5.2277193,0.19531842,-0.5250232,1.53E-04
0.18185452,-5.456234,2.0404794,-0.3203894,0.57984674,-0.20707722
3.4121652,-4.9082775,-0.34456646,-1.6407357,2.0403826,-1.0283613
5.151149,-6.6071815,2.9629126,-2.4458325,2.9317615,-2.3421412
0.49950173,-9.510274,2.050649,-2.3119042,2.5881598,-2.7633202
1.3142579,-8.422736,3.5611184,-1.9620414,1.7877972,-2.4840105
2.0620148,-7.555936,4.033701,-1.3041589,1.3829582,-2.7043736
-7.932805,-11.7050905,3.4881372,-0.80082077,1.0352334,-1.8924048
-11.437094,-15.523437,5.263612,-0.704765,0.9101624,0.7553126
0.45583272,-12.11187,4.2831526,-0.1473669,0.4549285,1.3064495
0.18484555,-12.700504,1.0767702,-0.18600298,0.15943113,0.95185274
1.3549358,-13.299308,0.86201435,-0.070858285,-0.45569205,0.7766923
0.75493556,-12.693924,2.1625135,-0.10262234,-0.4356868,0.5891622
-6.4091754,-14.52563,4.080959,0.2377723,-0.24296449,0.9393304
-4.2394834,-14.276776,7.793423,1.0648595,0.13163759,2.2804456
-4.709075,-12.446865,5.9090757,1.3794458,1.0986089,2.512262
-2.1954148,-9.0951185,1.1222339,1.2975923,1.3275238,2.6000714
14.607584,-4.3998027,-0.7040881,0.5279247,1.2497935,1.1441169
8.860024,-4.8616176,-5.369494,-0.5803049,0.82326937,-1.3849435
-4.90409,-8.836694,0.20817557,-1.2195566,1.2215418,-1.1010522
-4.4895334,-6.7166533,-2.4029922,-1.0224056,1.6138585,-0.9420792
-5.465805,-7.48774,-6.259026,-0.8131904,-0.27992076,-0.6300889
-0.0077766734,-6.939784,-1.3501502,-0.39598173,-0.77715045,-0.6838435
2.536392,-8.39821,-0.93978107,-0.09025268,-0.5514424,-1.4330477
5.956932,-8.252846,-0.8662018,0.10491302,-1.1158652,-2.6468012
3.0215368,-11.499906,0.061016977,0.32252735,-1.898666,-3.318275
0.7513463,-11.863016,0.78424764,0.025044737,-1.636918,-3.1342573
0.043070808,-13.526029,3.9553359,-0.21562909,-1.273922,-2.9421458
-1.6971095,-11.440683,5.5716877,0.18462859,-2.195385,-2.7668326
-2.1254246,-14.663218,1.2897314,0.2741177,-1.1902359,-2.2734208
-0.93559366,-14.022539,-1.2077773,-0.11178505,-0.39643988,-1.1687036
2.9772696,-9.616156,0.09272188,-0.17729841,0.027029991,-0.7835643
2.5615165,-8.306086,1.0624132,0.12843063,0.2997733,-0.83548635
2.4514468,-9.223733,1.9100707,0.49142662,-0.038330667,-0.6726955
2.9706893,-5.303093,0.95712906,-0.6064186,-1.5943114,0.3657448
3.6897326,-6.3248286,1.4937196,-2.2305088,-1.480541,0.671932
5.576473,-6.8279195,1.3196417,-2.0732155,-1.1042591,0.4045336
4.994419,-8.062017,0.3278167,-1.1103677,-0.31962582,0.20585553
3.9487555,-12.613167,-4.328018,0.13423368,0.7226323,-0.40880954
2.4041886,-13.707285,1.5200406,0.55632913,0.8368607,-0.6102364
6.5048885,-13.307683,2.7990043,1.121821,-0.91352206,-0.88191074
6.25424,-10.779068,-0.12083755,-0.025808297,-0.8057075,-1.0109522
4.9088755,-11.514262,-1.6205392,-1.2264286,-0.47401747,0.18691926
0.05682954,-10.182656,-2.9365916,-1.9767017,-0.6499415,1.1457968
-0.41874397,-10.064212,-2.6099713,-0.65604997,1.2763654,0.1731752
2.7553353,-11.922837,-3.2123644,-0.016951011,-0.10567658,-1.1305256
1.939981,-5.5423756,-4.118646,-1.617829,-0.34329617,-0.8565606
2.3814569,-5.0368915,-3.714857,-1.1091459,-0.35872006,-0.5995466
0.13938192,-8.933603,-0.84765744,-0.48562357,-1.3041589,-0.35994175
-1.7910278,-9.8937235,1.6139588,0.21150586,-1.4544274,0.14721419
-2.6997023,-6.2374907,-0.93738824,0.95979375,-1.2391037,1.1861126
0.9517452,-7.308877,-4.215555,0.5051707,-0.24662958,1.5318522
0.17527425,-9.475577,-0.41754755,0.050089475,0.9023741,1.6404303
0.46959144,-11.564512,-0.17467605,0.11392301,0.76432264,1.6761649
1.8813568,-12.236895,-2.3844478,-0.12369657,0.033291176,1.5048223
1.8161523,-10.833505,-2.784049,-0.37597647,0.12140589,0.9770502
2.0033908,-9.365508,-1.5864414,-0.6757498,0.01267508,0.9856021
2.309074,-9.932009,-1.6193427,-0.9239065,-0.033596598,0.97537035
2.5339992,-10.193424,-1.588236,-1.12289,0.020463383,0.910926
2.928815,-10.106685,-0.98943216,-1.1439642,-0.1369825,0.8684721
2.7056842,-9.272786,0.18783657,-0.8289197,-0.061848287,0.82326937
3.7884364,-7.0055866,0.93619186,-0.14324369,0.6410842,0.49692425
6.2057858,-7.4344997,-0.82911307,-0.04046863,0.15988927,0.10934166
3.7136607,-9.557532,0.15254244,0.018630842,-0.9385668,-0.16370706
0.50129634,-12.854243,-0.55513483,0.2249445,-0.80387497,-0.2664821
-0.79800636,-12.179467,-0.43968117,1.2908729,0.15882029,0.03420745
-0.101694964,-9.881161,-1.3250256,2.061304,0.07207998,0.08108997
-0.18604197,-9.45464,-2.7792635,2.75599,-0.18264332,-0.3593309
-2.629712,-10.908878,-3.4259238,3.11807,-0.34986275,-0.75699246
-7.2640114,-11.586047,-5.316852,2.623589,0.19027892,-0.4653129
-4.496114,-13.467404,-4.2574296,1.8441479,0.99934614,0.4923429
1.3250256,-15.614365,-4.7449675,1.6454698,1.0964708,0.7366818
5.833103,-11.004591,-5.523831,0.87030464,0.07605048,-0.43507597
5.3904314,-8.350951,1.1563315,0.58610797,-1.1103677,-1.4251066
4.532604,-8.19123,-0.14656039,0.44820917,-0.21547636,-1.9970124
4.223332,-9.220144,3.4564323,0.56824064,1.1213628,-2.349013
-1.8077775,-9.442677,0.32183465,1.1596935,0.7461499,-2.0580971
-0.9870393,-8.850452,-2.3581266,0.56595,-0.18111621,-0.9200887
