lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
-2.9467611,3.4851463,8.803194,0.08765658,-0.09712471,0.04566083
-2.8462625,3.5413775,7.9543405,-0.05833591,-0.12705623,0.14186928
-2.5866413,3.679563,8.243873,-0.14034216,-0.27686653,0.16217995
-2.288735,3.8608193,8.648259,-0.088114716,-0.4146126,0.11942064
-1.9968106,3.8518462,8.740981,0.0071774554,-0.54854083,0.027488127
-1.5601203,3.6197424,9.01795,0.0051922016,-0.5880932,-0.049478628
-1.3645071,3.35713,9.382855,-0.097277425,-0.37689275,-0.11606098
-1.4255241,3.2004004,9.604192,-0.16477604,-0.25258535,-0.158973
-1.5391831,3.0957143,9.762716,-0.15607147,-0.2415901,-0.12354386
-0.95772725,3.181856,9.54138,-0.086129464,-0.30588177,-0.09300149
-0.6155536,3.391228,9.206984,-0.09025268,-0.35688752,-0.13331741
0.23808585,3.4151561,8.963513,-0.26342788,-0.42957833,-0.39598173
0.066400826,3.1345978,9.050852,-0.370937,-0.3967453,-0.57602894
0.17108682,2.5914268,8.881559,-0.46256408,-0.3578038,-0.74492824
0.41515473,2.5202405,8.926425,-0.5396836,-0.16095825,-0.95246357
0.5886344,2.0871396,8.315657,-0.5554129,0.14721419,-1.1725214
0.9816555,1.5200406,7.6307116,-0.7591304,0.7146913,-1.3463074
1.4183456,0.8632108,7.1359954,-0.9425373,1.2820157,-1.6854804
1.8544376,0.0023928226,7.2065835,-1.0107995,2.3626044,-1.7665703
0.33140594,-0.34337005,5.7188463,-1.0906677,2.3545108,-1.8191031
-1.9148563,1.1395818,5.663811,-0.92573905,1.2522368,-1.5469707
-2.3192434,1.5601203,7.6953177,-0.46729815,-0.468978,-1.4101409
-1.5834504,0.06520442,6.6885376,0.76844585,-3.3538568,-1.6894509
-2.2420747,0.1268196,6.858428,0.72843534,-3.3810396,-1.7100669
-3.4797623,1.1060823,6.815955,0.13392825,-2.907633,-1.2878188
-4.8825545,0.40917268,6.13101,-0.5792359,-1.1248752,-0.41293275
-4.4488554,0.5198407,6.001797,-1.1856545,0.22677705,0.9203941
-0.071186475,2.1445673,4.640281,-1.9733421,-0.5746546,-0.049784053
-4.8765726,3.6424742,7.4913297,-2.7691233,-1.2137535,-1.7542006
-9.668798,0.6257231,11.450852,-3.7205179,-2.7089548,-1.1993986
-8.760123,-1.2424731,16.831114,-3.6586697,-1.0005678,-0.037261683
-6.3696938,1.753939,21.905693,-1.2143644,-1.4006728,1.0546278
-5.5483575,2.9832516,22.774885,-0.09773556,-2.0449638,0.93780327
-7.3902326,5.4089756,26.869604,1.0037748,-2.6547422,0.72996247
-10.4871435,5.4819565,31.007393,1.9609724,-1.4405305,1.3220261
-8.861818,1.3256238,37.14199,3.2950628,0.81609195,2.6787179
-2.4801607,-2.239682,40.16652,5.5467987,0.65895146,3.6931825
2.4245276,-5.663811,34.4716,7.4622626,0.79196346,3.0889018
2.565704,-8.351549,26.760132,8.789634,1.0625688,2.3425992
2.5399811,-9.0747795,18.37329,9.076732,1.0104941,2.4313247
1.9483558,-7.347162,10.676775,8.809486,-7.64E-04,1.8427734
-1.0785648,-5.1732826,3.2177482,8.072347,-1.1700779,1.4828317
-2.4215364,-4.2741795,-0.37268212,6.613185,-2.139187,1.769319
-1.4189439,-5.1900325,-3.1339993,4.9209857,-1.974411,1.9739529
-2.1026928,-8.199605,-4.4482574,2.8769379,-1.9334843,2.032747
-4.5445685,-9.2177515,-2.0673988,1.5862176,-2.223484,2.429645
-0.019142581,-11.638689,-0.18005991,1.0894461,-2.241046,3.2805552
3.78724,-13.088141,-0.5347959,0.65956235,-1.3594406,3.3089595
1.6911274,-14.196617,-3.086143,-0.06994201,-0.4692834,2.784242
1.2000005,-13.196417,-6.2638116,-1.4194564,-0.7046123,3.0647733
3.9230328,-13.6402855,-5.4125648,-2.7631676,-2.6878808,2.9099236
6.2674007,-14.962918,-2.2839491,-3.3181224,-4.615867,2.935121
10.215558,-16.41596,-1.8550358,-3.426395,-5.607425,3.3045309
17.204395,-14.467604,-1.6007984,-3.3624086,-4.755751,3.54719
24.798616,-12.823734,-9.736395,-4.9655776,-3.3957,4.2740984
42.318264,-7.2993054,-2.5411777,-7.2351804,-3.8129086,5.6291103
60.70232,5.7314086,14.014164,-6.753527,-3.1628144,4.674814
47.858246,15.167504,17.720646,-4.445441,-1.968608,2.441251
34.017563,16.80958,11.383256,-2.1952324,-1.6523418,0.84266376
19.323837,13.52543,4.936991,-1.5982819,-0.7437065,-0.335966
8.551949,10.343575,1.9453648,-1.7876445,-0.34986275,-0.34131092
5.0955157,9.500104,3.1208389,-2.059777,-0.76554435,0.14232741
4.415356,10.339387,5.643472,-1.9113411,-1.519788,-0.031458635
0.7680961,11.391032,7.8496547,-1.6447062,-1.4281609,-0.94070476
-5.749953,12.967902,9.425926,-1.4428213,-0.2325801,-1.4139587
-7.333403,15.44926,12.622139,-0.92512816,-0.5586198,-1.3154596
-1.2340983,18.766909,17.206787,0.36070532,-1.4901619,-1.8462858
6.0933228,19.765314,14.653048,1.0593618,-0.105982,-3.3376694
14.857634,19.28615,14.390435,0.8980982,2.1370492,-4.5738716
24.394228,18.40619,11.982657,1.154654,4.333045,-6.0562453
33.809387,18.48934,11.014163,1.4147222,6.560194,-7.283743
46.185665,22.080967,17.380865,4.1406283,5.6912637,-7.5764914
50.30132,9.945169,1.814956,6.4725375,3.3095706,-8.827506
34.396824,6.3595243,-9.527023,4.0963416,2.5441787,-7.7544007
24.50729,-1.7318054,-2.4556344,1.6532581,3.4166214,-6.6093674
8.249854,-7.350751,2.9078777,1.6593666,4.3385425,-5.713407
0.11545369,-10.328021,1.8939191,2.6471066,3.6887538,-3.5119135
1.2723835,-11.779866,0.212363,2.920766,1.985559,-1.3744063
2.0075781,-13.369897,-0.05623133,2.913436,1.3583716,-0.2585411
3.2679975,-15.107086,-1.2987045,2.6377912,0.98407495,0.6503996
0.6550352,-16.610376,-3.1932218,1.9206564,1.0167552,1.2175713
-2.6602206,-18.331415,-3.3373895,0.79608667,0.1395786,3.0165164
0.8811569,-21.515064,-1.5457634,-0.4421007,-0.3504736,5.2192316
