bmi160_accelerometer.x,bmi160_accelerometer.y,bmi160_accelerometer.z,bmi160_gyroscope.x,bmi160_gyroscope.y,bmi160_gyroscope.z
3.6553357,1.2053844,8.693723,-0.03555215,0.6312837,-0.14407277
3.5309088,1.1862419,8.839685,-0.10359391,0.124365956,-0.3091839
3.6744783,1.1551352,9.311669,-0.10465915,0.14034446,-0.26550934
3.9116669,1.3683954,9.922736,-0.12809427,0.16697527,-0.31770575
4.249354,1.5646069,10.50479,-0.032356452,-0.13128997,-0.3485975
4.153641,1.5191432,10.4016,0.07310162,-0.3027925,-0.44553372
4.0794635,1.5191432,10.142876,0.1561898,-0.4081174,-0.4902735
4.0384865,1.5358931,9.747761,0.21903855,-0.44220486,-0.5318176
4.033701,1.5861423,9.572786,0.2786916,-0.40066078,-0.59892726
3.9738803,1.6845472,9.220742,0.33834463,-0.45924857,-0.6916025
3.2312078,1.6534405,8.027621,0.39906293,-0.5913375,-0.86723286
3.1259236,1.7491534,7.711469,0.3660407,-0.5955984,-0.8693633
2.606083,1.8687944,7.508079,0.26164785,-0.7820142,-0.9034508
2.524727,1.8113668,7.8170524,0.16471165,-1.1387341,-0.8629719
2.8528428,1.8786649,8.190632,0.13808084,-1.4423255,-0.84486294
3.3918262,1.698904,7.8457665,0.1370156,-1.6211516,-0.84166723
3.4947174,1.943271,6.8228345,-0.34007564,-1.288932,-0.7331466
3.636193,1.9648064,7.3713894,-0.64366704,-0.8491239,-0.6255581
3.9403806,2.0820549,8.93809,-0.872559,-0.43261775,-0.53394806
3.4516466,2.053341,11.094023,-0.8118407,-0.6179683,-0.40825057
2.9772696,1.7659031,10.4351,-0.5637746,-1.2175614,-0.34433657
2.8671997,0.90358967,9.64457,-0.300662,-1.2814753,0.041144624
2.9943185,0.8246265,9.373882,0.007057169,-1.0386022,0.32982278
2.376073,0.65682983,8.295917,0.3500622,-1.0982553,0.6673685
0.83090764,0.35503507,6.341279,0.7227606,-1.6520432,1.4640297
0.5051847,0.081954174,6.0251274,0.84419715,-2.1516376,1.7962492
0.07178468,-1.0319048,5.526822,1.3180927,-3.595694,2.3798637
-0.82672024,-2.7711878,3.140879,2.6248674,-6.0089793,3.040175
-0.5560322,-4.301996,0.41964126,3.3022225,-7.433995,3.4204633
-0.33320054,-4.692325,-0.2943172,3.4641378,-7.988848,3.5236578
2.51037,-6.992127,-6.2255263,3.1839814,-7.9941745,3.6972907
10.1853485,-7.39442,-10.95165,1.3702891,-4.6043367,3.9550772
21.077776,-8.491529,-9.533604,-1.8545707,1.3672266,3.7963574
23.221746,-6.0768723,6.7462645,-3.741631,4.3172565,3.263874
27.639194,-4.9486566,19.734505,-1.0270178,3.5674653,2.8048918
24.726233,-3.065804,13.511073,1.9080987,2.23406,1.703574
22.244278,-3.611966,8.600403,3.0092833,2.0381901,0.91876346
17.283358,-1.4751751,4.7602215,3.2084818,1.1573757,0.5161054
11.862418,2.3407788,1.6654046,3.0689363,-0.023701435,0.53208387
5.3009996,0.8246265,-8.22802,2.1019711,-1.75111,0.76004374
8.860622,0.44117668,0.47228336,0.53860843,0.15099677,1.2456568
-0.2542374,2.5181468,-8.357532,-0.3805545,-1.7756103,1.4491163
1.559223,1.0663016,5.610571,0.2882787,-1.0364717,2.386255
5.4376893,-1.6860427,6.7199435,0.9773513,-2.4188778,3.0231314
12.449258,-4.234698,4.705187,1.4416597,-2.9513612,2.8666751
11.232208,-7.4015985,-2.1242282,1.273353,-2.2324622,2.4991698
18.632013,-4.215555,18.70918,2.3150177,-0.13448566,1.5471178
5.8471613,-4.397709,-7.844869,0.70465165,0.37456256,0.17642923
2.021636,-7.032805,-3.5521452,-1.2709562,1.5375307,0.22116901
-2.4508486,-7.4327054,2.4296124,-1.275217,0.9294158,0.6077154
-0.27337998,-6.3475604,4.1997027,-0.56590503,-0.55618477,1.1689601
-2.1945174,-4.5484567,2.3072793,-0.04087832,-1.1813434,1.3638977
-3.1549366,-3.6287155,-2.2968106,-1.4934567,-1.454043,3.863467
9.184252,-4.205984,2.1131616,-1.9034382,-1.142995,3.8197925
14.301003,-1.3818551,1.1623136,-0.44340324,0.62276185,0.49586597
9.349357,-2.0835502,-8.860622,-2.7512305,2.6388485,1.2541788
9.866804,-9.06162,2.5875385,-1.7448517,0.9613728,0.8836108
5.7370915,-12.4681015,-3.3005998,-0.5872097,0.074300006,1.5013129
