AcelerometerX,AcelerometerY,AcelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0.6016088528,-0.3791539231,1.236134617,-0.3579311371,-0.4171716273,-0.1870813966
0.4392436502,-0.7059814467,1.402696468,-0.4061473906,-0.4857616127,-0.2564096153
0.2696710735,-0.9724477328,1.499347162,-0.4434420466,-0.6009435654,-0.337813884
0.2317600797,-1.149203645,1.325778063,-0.4075703323,-0.7469513416,-0.4080278575
0.423544269,-0.9813011936,0.8316296876,-0.301369518,-0.9012423754,-0.4628813863
0.6438326682,-0.5843515016,0.2890215245,-0.1451213062,-0.965626955,-0.5016804338
0.7942144414,-0.2064826498,-0.2076467251,0.002563419752,-0.9254752398,-0.5390726924
0.8012143103,0.01238923371,-0.2605629073,0.1039654016,-0.8308811188,-0.5676779747
0.6852226633,0.08306377539,-0.005216273344,0.1499364525,-0.7626948953,-0.5958679914
0.6322994668,0.09167524413,0.5025187293,0.1458021551,-0.733999908,-0.6310760379
0.7648854711,0.02083382145,0.9755395614,0.09654214978,-0.6995193958,-0.6653428674
0.8823776589,-0.05728226841,1.426877554,0.009427216835,-0.676746726,-0.6722793579
1.060754377,0.02992547493,1.782652647,-0.1015332565,-0.6567078233,-0.6227110624
1.385892779,0.1913803577,2.004676273,-0.2142187804,-0.6820571423,-0.5311459899
1.547740899,0.2555111769,2.04646725,-0.3361853957,-0.709975183,-0.4148212671
1.427902075,-0.00870440772,1.64481128,-0.449867487,-0.690167129,-0.2864113748
1.227564211,-0.3760878136,1.053935637,-0.5417349339,-0.6475981474,-0.1901821941
0.9206449918,-0.6872513195,0.5894757127,-0.6063418984,-0.6156036854,-0.1421741843
0.6386549733,-0.9667787473,0.1455056185,-0.6142137647,-0.5851067901,-0.1040214375
0.5701605522,-1.092499761,-0.1103039568,-0.5813338161,-0.5594498515,-0.08532870561
0.4470451177,-1.102085336,-0.1492483122,-0.534316361,-0.5112676024,-0.09264857322
0.2899593351,-1.15148255,-0.01982113728,-0.4820441008,-0.4112557769,-0.0934696272
0.2839263933,-1.24094041,0.1654284626,-0.4371710718,-0.2969954312,-0.107152015
