x_accelerometer,y_accelerometer,z_accelerometer,x_gyro,y_gyro,z_gyro
-1.609113505,-0.35759471,-2.035822522,0.4361022413,1.039029598,0.6890162826
-1.470720787,-0.03262392023,-1.42760996,0.7822366953,1.431057572,0.6661190987
-1.311248895,0.4596040089,-1.120081303,1.018087864,1.691055655,0.645519793
-1.034035882,0.7858835432,-1.253410746,1.140324235,1.781403422,0.6665492058
-0.6060965926,0.6843339708,-1.014800143,1.147119045,1.707618475,0.7176339626
-0.3050742492,0.4256728055,-0.4612947385,1.036160469,1.515096426,0.7793331146
-0.1653968984,0.1766658959,0.08989011428,0.8135527372,1.316071749,0.8409075141
-0.1235175125,0.0123220137,0.5868728367,0.4832918346,1.112696767,0.9249513745
-0.1584500019,0.08510083418,0.7815484366,0.09727223963,0.9980397224,0.9626824856
-0.2866578641,0.2084498582,0.963607716,-0.3111357093,0.9219304919,0.9156208634
-0.4112190404,0.3692050683,0.7764350391,-0.6852917671,0.8395762444,0.8280055523
-0.3859393455,0.3485357898,0.4288081809,-0.9649684429,0.7350862622,0.7109925151
-0.6226560978,0.5030255097,0.2271300088,-1.109005809,0.6528534293,0.5720682144
-0.7366727914,0.8107955739,0.1428513046,-1.086148381,0.5566616058,0.4252171218
-0.7883734603,0.9568056348,-0.3563414951,-0.8715931773,0.4396010339,0.3120397031
-0.7928183109,0.6867331409,-0.8342068446,-0.4753288031,0.3291407526,0.2088341862
-0.9675320499,0.3825929577,-1.15946405,0.06898269802,0.2745805681,0.05297855288
-1.673328203,0.402723307,-1.170425589,0.7294514179,0.2855812907,-0.1882436275
-2.616274093,1.011274015,-0.8858277263,1.397061706,0.1018079966,-0.4866146147
-3.199467365,2.504264209,-0.6578127513,1.26583004,-1.676208615,-0.9668707848
-2.87569806,3.939367155,-1.53713358,0.3389539421,-4.800338745,-1.493826509
-0.5313622542,1.453714415,-2.698305018,0.2192556709,-6.243583202,-1.511742473
1.650303448,-2.277933827,-0.8490554542,0.5376184583,-6.808717728,-1.322921634
1.802302227,-1.577417075,0.2119838776,0.6163060069,-7.574580193,-1.199999213
1.482141468,1.576611019,-0.2762865461,0.4973241985,-8.355587959,-1.048883557
1.974171829,3.61016355,-0.05112812969,-0.3708639145,-4.318259239,-0.7377547026
4.61571568,4.50375285,6.087899526,-0.2708869874,-1.683875799,-0.2824788094
3.129401018,4.114767269,5.912331947,0.09509766102,0.1036351919,0.1630491465
1.080909277,3.757510121,3.963927596,0.5408956409,2.099624872,0.5901429653
0.5225275711,0.5693272432,3.481636831,0.5181162953,3.244574547,1.192490816
0.5451657386,-2.987444032,2.201267936,-0.2086564153,3.175614357,1.56563127
0.5130270081,-3.673431615,0.7711737576,-0.9475877881,2.589521885,1.433127642
-0.8601425192,-1.791768558,0.6524310583,-1.248117566,2.077807426,0.9650105238
-2.222152903,-0.4522071766,0.4723614914,-1.256081939,0.9741232395,0.3177785575
-2.260464805,-0.03760083186,-1.925752958,-0.930179894,-0.2946381271,0.04728820547
1.258761898,-0.8424374973,-3.776879422,-0.6073740721,-0.9105113745,0.03646310791
0.8128975146,-0.8435270461,-1.494444777,-0.5514045954,-1.082509756,0.04479134455
-0.4224389381,0.8356596738,-0.4805120646,-0.6520526409,-0.826690495,0.0284770783
-0.06027998892,0.9860451733,0.08661971431,-0.8277125955,-0.2787163556,-0.0405914709
-0.3702372974,0.6900882965,0.5199725529,-1.02042079,0.3909489512,-0.2278160006
-1.163242253,1.430928875,0.8253232809,-1.299990892,0.9091258049,-0.4571208358
-1.872145725,2.053806507,1.90384274,-1.579398274,0.9224323034,-0.694606483
-2.710760595,2.035521493,1.387673671,-1.783138633,0.8168537021,-1.049982429
-3.431950133,2.040370687,0.5241577296,-1.877874732,0.7655900717,-1.533492208
-3.691868605,2.22504687,0.120417939,-1.894040465,0.6804176569,-2.045050144
-3.829420341,2.540075527,-0.6692693804,-1.856271148,0.63363415,-2.44746089
-3.719282389,2.503761228,-0.9057055622,-1.811563134,0.6249147058,-2.632448673
-3.273408799,2.259615203,-0.7649000841,-1.7813797,0.6507194042,-2.604321718
-3.009883827,2.228920497,-0.6254962896,-1.760214686,0.6408348083,-2.448037386
-3.223697258,2.01767604,-0.3778022163,-1.741965175,0.5056661367,-2.294165611
-3.307729294,1.513085619,-0.2839695018,-1.748198628,0.4953764975,-2.316852331
-3.30922304,1.426857242,0.6434715068,-1.821149468,0.5597565174,-2.50280714
-2.910513352,1.34129975,1.444277017,-1.995625734,0.6126452684,-2.651443481
-1.768657732,0.7421097949,1.761692861,-2.233642101,0.5964112878,-2.678722143
-0.9712339731,0.2896999352,2.029255418,-2.449792147,0.4842354655,-2.633982182
-0.9338514602,0.1058784685,1.395752348,-2.593147755,0.4439391196,-2.539298534
-0.391267847,-0.2680131137,1.029566335,-2.63033843,0.4770496488,-2.412986517
0.764001674,-0.3953315163,0.5204571215,-2.428251266,0.6359984875,-2.242980242
1.610982952,-0.5243031294,-0.6131973646,-2.060854197,0.8201150894,-2.042040825
1.613864645,-0.7393161456,-1.148651564,-1.651381373,0.7459107041,-1.830196857
1.457468215,-0.9796019885,-2.162449837,-1.299799085,0.5130915642,-1.674405694
1.380165049,-1.283712946,-2.699046192,-1.013614774,0.225832805,-1.577305079
1.576493384,-1.501855638,-2.986989274,-0.770683527,-0.05904819444,-1.494413137
1.995357387,-1.705472085,-3.334789151,-0.5224063993,-0.276447624,-1.363819003
2.207634402,-2.034145382,-3.702167003,-0.2358510494,-0.4641743898,-1.176248789
2.223572999,-2.398976619,-3.904887378,0.07673929632,-0.7036823034,-1.014345527
1.926157594,-2.507403092,-4.173821808,0.3839754164,-0.9127646685,-0.8951692581
1.738323384,-2.513491472,-4.046438706,0.6471390128,-1.140682817,-0.8403942585
1.42112352,-2.377427051,-3.864363645,0.8607988358,-1.311857462,-0.8372166157
0.95887002,-2.069102714,-3.721416478,1.036348581,-1.341266632,-0.8870940804
0.4476742094,-1.680035884,-3.369796167,1.164169073,-1.128250241,-0.937848866
-0.02231017762,-1.328312843,-2.67602246,1.231600046,-0.7915533185,-0.9493287802
-0.108494277,-1.152795386,-1.834923517,1.233344674,-0.4126126766,-0.9105547667
-0.1507671923,-0.9258558583,-1.143548688,1.180252671,-0.02975839563,-0.8020870686
0.07779723317,-0.8246587526,-0.6008686289,1.074851394,0.3059407771,-0.6882653832
0.3287058847,-0.6941619757,-0.2462222472,0.8787124157,0.5009422898,-0.6650063992
0.4867141341,-0.4046965433,0.009323708662,0.5937229991,0.4759687781,-0.7500733733
0.5937565318,-0.168986557,0.1935077251,0.3156517744,0.3642484546,-0.8361324668
0.7041946364,-0.1082372335,0.366218746,0.1295865774,0.2534037232,-0.8675678968
0.6671477851,0.1266691814,0.2487701782,0.03872773051,0.1593508869,-0.8606336713
0.5639093828,0.4681945079,-0.07394377261,0.0181747824,0.04724486172,-0.8386367559
0.5083285846,0.7341414463,-0.4220978696,0.04384684563,-0.05531161278,-0.8049712181
0.4072263175,0.9889309579,-0.6982967374,0.1152800173,-0.130224213,-0.7453659177
0.4643841559,1.119917491,-0.8591600841,0.2080074251,-0.1491304338,-0.6766625047
0.5519090754,1.19353963,-0.8434896367,0.3108949065,-0.1427809298,-0.6161615849
0.4668031997,1.240716246,-0.7982768686,0.412789911,-0.122070618,-0.5640904903
0.4374208187,1.175776302,-0.6868640738,0.4920730293,-0.06480199844,-0.5145322084
0.5635075971,1.080860907,-0.3716232354,0.5267750621,0.001326974365,-0.4583599567
0.7083077708,0.9869454101,0.0423883584,0.504257977,0.01069863793,-0.3937580585
0.8525293408,0.8171532723,0.4070534452,0.4557346702,-0.04759328067,-0.3388404548
0.9224312907,0.6165665487,0.6239326936,0.4254893959,-0.1793060452,-0.3142392337
0.8595798439,0.5018717001,0.627241672,0.4317777455,-0.3017947376,-0.3026455939
0.8149548125,0.371791395,0.591779898,0.4419294596,-0.3476983011,-0.2627312243
0.9214978823,0.2164003058,0.6677484544,0.4377138317,-0.3671377003,-0.2079108655
1.014874012,0.07431972978,0.7224374915,0.4183707535,-0.4099709094,-0.1599028558
1.004896881,-0.04204937223,0.6352981372,0.3956360817,-0.425498575,-0.1118340492
0.969451912,-0.1222925007,0.5931850886,0.3823040128,-0.4442363083,-0.0802359134
0.918899098,-0.1540282765,0.5252788426,0.3741466105,-0.4804457724,-0.06845136732
0.7618821976,-0.1660746881,0.3372492566,0.3642460406,-0.5076220036,-0.07279179245
0.7160885608,-0.2967212853,0.2637719325,0.3324510455,-0.5463442206,-0.1038659588
0.6495084489,-0.3578921586,0.2702700623,0.2673956156,-0.5569528937,-0.13868545
0.5147852864,-0.3839680454,0.2952975361,0.1920415163,-0.5042822361,-0.1739908159
0.3965981022,-0.4659573965,0.3737596629,0.09240332991,-0.4166456163,-0.2201055884
0.3145552308,-0.4658231026,0.3956681278,-0.01641138643,-0.318018496,-0.2568024397
0.3755069449,-0.4936351656,0.4311842624,-0.1198347136,-0.2329435199,-0.2684625387
0.5154343249,-0.5010331669,0.3461421726,-0.1973209232,-0.1905849129,-0.2641571462
0.5675054346,-0.4342652042,0.118856681,-0.229202956,-0.1868077517,-0.2598800957
0.5972619827,-0.3284250219,-0.2672399008,-0.214467451,-0.1804730147,-0.248430863
0.6487846646,-0.2167493749,-0.6046919865,-0.166247189,-0.1654812843,-0.2260137051
0.6400591411,-0.04463588159,-0.8834937303,-0.09972313046,-0.1217707694,-0.2116348147
0.4314429864,0.05417246582,-1.084464046,-0.04346492141,-0.02850047499,-0.2067079693
0.3749274645,0.01966631204,-0.9816437235,-0.03454137594,0.05086407438,-0.2082826048
0.3598171353,-0.0006310644452,-0.815991389,-0.04246374592,0.1061177403,-0.2028020918
0.3395648401,-0.0326917613,-0.6902163068,-0.05043714866,0.1421565264,-0.1989382952
0.3241964444,-0.02759381711,-0.6026461599,-0.05395491794,0.152022481,-0.1959827095
0.3502669975,0.02872910475,-0.5547650493,-0.04745457321,0.1419927031,-0.1832934916
0.3859747091,0.05364153728,-0.5037742823,-0.02637725137,0.1126417369,-0.1575479209
0.4753318125,0.07296491764,-0.4748176524,-0.001371311489,0.07326520234,-0.1217767224
