acceleration x,acceleration y,acceleration z,gyro x,gyro y,gyro z
0.3291024097,-0.2332395046,-0.2663970203,-0.09677702934,-0.5377372503,-0.4614414275
0.4420564426,-0.3333243382,-0.2493061847,-0.0582533367,-0.5376565456,-0.4255484045
0.4155980592,-0.2850450221,-0.2147539268,-0.08056975156,-0.5422647595,-0.397667855
0.2608969981,-0.1466375452,-0.2494961544,-0.146328792,-0.5589454174,-0.3906773329
0.2164726403,-0.1126856643,-0.1184188742,-0.2171874344,-0.5685777068,-0.3871948123
0.122851121,-0.1797130085,0.1189963818,-0.26534006,-0.5388435125,-0.3703077137
0.08909101806,-0.03831687117,0.1308972475,-0.2819700837,-0.499211669,-0.3458114564
0.1103805657,0.01397007316,0.002169160733,-0.2492869645,-0.4866162837,-0.2942832708
-0.02448629781,0.1708437657,-0.1683072329,-0.1955649853,-0.5350992084,-0.2597675323
-0.08256600021,0.4081332763,-0.1378665019,-0.1423582286,-0.5317001939,-0.2338120937
0.02325694096,0.670550287,-0.1482639773,-0.1087223887,-0.6181934476,-0.2544724643
0.1942961356,1.147998872,-1.126071484,-0.1040019318,-0.8312681913,-0.3474231958
-0.2456424563,0.534027674,-0.4438070126,-0.1516624391,-0.8648607135,-0.3831140697
-0.2718714696,0.05232223485,0.2454080083,-0.2427896857,-0.8117756844,-0.3550699353
-0.1191523395,-0.1085178771,0.5252455249,-0.3222776949,-0.7393105626,-0.32455495
0.1529891427,-0.5375843436,0.4251034811,-0.349311173,-0.6702255011,-0.3119957447
0.1066174868,-0.6424131568,0.335256037,-0.3414134383,-0.5747798681,-0.2826204002
-0.01989398332,-0.3446989881,0.3232628168,-0.3334386051,-0.4526914954,-0.2303750217
-0.1877819314,-0.382723854,0.5005839618,-0.2575148642,-0.3194800615,-0.1757260859
0.08312211799,-0.5089318477,0.5291998154,-0.1479670554,-0.2102382779,-0.1405286789
0.2332926596,-0.4606260454,0.3236906869,-0.07360575348,-0.1260816604,-0.1055369526
0.1417261,-0.4341057758,0.31012861,-0.01713023148,-0.02522002906,-0.09322144091
0.02755728449,-0.2718851328,0.4429606249,0.04600398242,0.08143017441,-0.1260551065
-0.07132558947,-0.1557118822,0.6085048228,0.1115422398,0.2061068565,-0.1667047888
-0.07490574951,-0.3299899331,0.851747762,0.1983424574,0.3275326788,-0.1654649973
-0.3996722124,-0.534269045,0.9361416169,0.2824948728,0.3817799389,-0.1472676396
-0.7452326761,-0.1837486207,0.8303086681,0.3602852523,0.4272015989,-0.1514772028
-1.269355042,0.3839524095,1.049172953,0.4892736077,0.4966134131,-0.1807706356
-1.815689971,0.6971331005,1.410713186,0.6771602631,0.622165978,-0.2113304883
-2.118877529,0.7814940761,2.250456037,0.8848961592,0.9122667313,-0.2061666101
-2.250876162,0.5065151785,3.386463808,1.09563303,1.266399264,-0.1562193036
-3.011923224,0.4539140536,4.000145741,1.313162446,1.672171235,-0.07303840667
-3.844242063,0.433228993,4.565237539,1.488367081,2.139186382,0.05315014347
-4.540543535,0.5493129214,5.050829683,1.678456783,2.596929312,0.1941384375
-4.959240364,0.7924367642,5.211330626,1.812136531,3.07935214,0.3113713264
-5.252059527,1.27573846,5.388997808,1.803930521,3.665866375,0.3936882913
-5.645114842,1.563227806,4.499889745,1.80674684,3.325242281,0.5200933814
-5.241038952,0.7557860727,-1.629165967,1.375702858,2.913341284,0.5640571117
-4.174874824,2.876129729,-1.292632165,0.642811656,2.446200132,0.4172621369
-3.24128143,3.552933304,-1.569488036,0.2604059577,2.203159571,0.2397512496
-3.431926167,3.256754894,1.166575343,-0.004712646361,2.613430977,0.1951355934
-2.613534147,3.127075205,1.442601777,-0.3467072845,3.278318882,0.1476700753
-2.366413782,3.965542046,0.7691957355,-0.6198611856,3.891132355,-0.01381705608
-2.924205193,4.65405564,0.08270400217,-0.753940165,4.235470295,-0.2952300906
-2.970551057,7.227966802,0.7908885119,-0.70051229,4.434781075,-0.7815362215
-2.582131293,7.524151642,2.130810251,-0.5163496733,4.757322788,-1.404731154
-2.726714536,6.712954502,2.54271932,-0.2605270147,4.657521725,-1.925263166
-2.826110145,4.862213822,2.409402152,0.0931642279,4.183429241,-2.20336318
-2.496012514,3.792040751,1.880398151,0.32798931,3.326846361,-2.226155996
-1.507950156,3.637675534,-0.06690554454,0.2013991475,1.728660464,-2.165173769
0.6965554467,4.216543928,-0.3774012343,-0.5584329367,-0.0669112578,-2.30566287
2.033797738,4.801040684,-0.4920692314,-1.766584516,-1.104229808,-2.822631836
-4.001861898,5.125632703,-2.383577975,-2.793412447,-2.574399948,-2.554595947
-5.590616359,5.703331469,0.2938157731,-3.586666584,-2.5997293,-2.096149683
-1.035860467,5.665963569,3.187233614,-3.853090286,-1.948775411,-2.246964455
-0.2090767579,4.756736262,3.039240855,-3.566038132,-1.625115514,-2.583298683
-1.179699613,6.156892398,3.67622826,-3.053014517,-0.9296468496,-3.082282066
-0.6874281374,7.289312959,3.368555811,-2.357477188,0.2394984365,-3.465799809
1.356145437,5.176868385,2.007465611,-1.867934108,1.099386692,-3.858296394
3.150959062,3.146229111,0.6577174743,-1.955369949,1.665305257,-4.155648708
4.351427615,2.587765792,0.1998217306,-2.078429699,2.325335264,-4.196204185
4.986608848,2.780151527,0.06381167018,-1.796968102,2.828057766,-4.064757824
5.111185076,2.093378639,0.2022743844,-1.342104435,3.133951426,-3.834940672
4.611765481,1.923127286,0.6597568712,-0.9756394029,3.141527653,-3.547906876
3.472678449,2.16646784,1.503727569,-0.7867738008,2.713180065,-3.424090385
