lsm6dsr_accelerometer.x,lsm6dsr_accelerometer.y,lsm6dsr_accelerometer.z,lsm6dsr_gyroscope.x,lsm6dsr_gyroscope.y,lsm6dsr_gyroscope.z
1.3567305,5.1936216,8.303693,-0.6381827,-0.6033644,0.43141088
1.5696917,5.3312087,8.740981,-0.08353336,-0.44378054,-0.016187452
2.4101706,5.9653068,6.9852476,-0.31733516,0.1937913,-0.4987568
1.4075779,5.487939,10.121041,-1.9742583,-1.2989666,-0.054365408
0.9320044,3.8721852,8.666205,0.6853706,-0.41064206,-1.2444485
-0.23629123,3.2362926,6.0155563,0.31168482,-0.4199575,-0.5709895
0.81595254,4.8616176,14.089538,-1.1135745,0.29610822,-0.77501243
-3.5252259,4.4171505,7.8849487,2.2318833,-0.07101099,1.9325681
4.334,-0.991825,6.1920266,-4.743687,5.087136,-0.47447562
4.634897,-1.3112668,9.540782,0.27472857,-2.2386024,-0.5355603
2.5441687,3.8177485,13.344173,0.3048128,-2.0241952,-1.4913836
-1.713261,6.8727846,7.6133633,-0.19470756,-0.766766,-0.6300889
-5.3353963,7.597212,3.7794633,0.21349111,-0.25915194,-0.8321267
1.1593226,5.0141597,10.595419,5.1874676,1.3119472,-1.6037794
11.946765,8.150552,22.747368,1.2323843,4.19255,-0.2367033
11.855838,-6.0640106,-2.0171494,1.8078024,1.1253333,1.7271706
8.449655,-2.2103698,-1.6504494,-2.0099928,-2.3624518,-0.90512294
29.04827,9.249456,37.63551,-8.260335,-1.3997566,-0.3683409
-4.229314,7.3100734,2.2103698,1.0196568,-2.730182,1.0903623
-6.699305,6.748956,-3.0400813,2.9942205,-0.72599196,0.14049487
7.902895,29.09134,21.239891,2.6645157,2.057028,0.08750387
4.4871407,-5.703293,-7.6983085,2.38093,-1.3983821,0.48928866
2.0745773,-7.0731835,-3.1040893,-0.3749075,-1.1442696,1.6715835
11.352747,2.8438697,4.2520456,-3.5335987,0.7818845,-2.3632154
6.8099732,6.6568327,1.8335004,-3.5091648,-2.7118564,2.5142474
1.5637096,8.92463,1.2586247,0.61329067,0.23212196,-1.3770025
