accelerometer-x,accelerometer-y,accelerometer-z,gyroscope-x,gyroscope-y,gyroscope-z
-0.5574170982,0.06656272245,0.475142062,0.1018025726,-0.1114984304,-0.03634644672
-0.4641634988,0.1014798682,0.3188549373,0.06533312052,-0.1284465194,-0.07551002502
-0.3333431891,0.08123802127,0.2435778702,0.03428252786,-0.1515899301,-0.1029347256
-0.2255211305,0.06794087893,0.2791834366,0.01722965576,-0.1662037522,-0.1257103235
-0.246774182,0.0649137862,0.2642880653,0.008408999071,-0.1762012541,-0.1292965412
-0.3113138742,0.04657192769,0.2276058096,-0.03123977222,-0.1531806141,-0.1277736425
-0.3671793346,0.03132978877,0.2841559643,-0.06285309792,-0.09661640972,-0.1246340424
-0.3860799961,0.04413812467,0.3020902649,-0.06847216189,-0.04437370971,-0.1300895214
-0.3677013858,0.09443974041,0.2241653137,-0.04995972663,-0.01756579801,-0.1483846307
-0.3247293822,0.1354135558,0.08676116861,-0.02329540066,-0.005983181298,-0.1644806564
-0.2839964081,0.1192163081,0.0005050269127,0.004875252023,-0.003234799951,-0.1791826338
-0.2640625129,0.067672145,-0.01977437553,0.01521245483,-0.0003761574626,-0.1940787435
-0.19673772,0.04041735058,0.0121820207,0.002054574434,0.007072704379,-0.2037851661
-0.1218891806,0.02707067002,0.1246510465,-0.04046898335,0.0201783888,-0.1899079531
-0.08178622974,0.001902034229,0.2263543482,-0.08028350025,0.01730856672,-0.1610984057
-0.02936842556,-0.02780059173,0.2484013449,-0.1125129312,-0.0156163713,-0.1283968538
-0.01227948973,-0.03537292668,0.2004319715,-0.1270503253,-0.07742807269,-0.1105134562
-0.03952463953,0.018211364,0.0511176083,-0.1223864779,-0.1368418634,-0.1025096178
-0.1230569092,0.0873576732,-0.05519347943,-0.1000926271,-0.1725253016,-0.1130586639
-0.2534930602,0.1810946722,-0.1055558854,-0.07132051885,-0.1807262152,-0.1313355267
-0.3653439359,0.2714982889,-0.09361410324,-0.04535203427,-0.1462838203,-0.1444606632
-0.4717498623,0.3382698318,0.04490940131,-0.0271380581,-0.07218642533,-0.1232892349
-0.5851778694,0.3831706114,0.2029939309,-0.003678271081,0.00346998591,-0.07962404191
-0.7171308364,0.4250310004,0.3177332398,0.04522726312,0.06194446981,-0.02652627043
-0.7984357124,0.5330433391,0.4210509909,0.1097726971,0.0666436106,0.0383059904
-0.856658988,0.6812912421,0.5369897387,0.1834653318,0.01002267189,0.0998307988
-0.8295287698,0.8136506711,0.7013654773,0.2776784003,-0.08094584942,0.1551555842
-0.803565988,0.8828845124,0.8982482319,0.3958119452,-0.2289733738,0.1926136464
-0.8354772299,0.9247210821,0.9875023864,0.5239539146,-0.4049222767,0.2188212723
-0.8863694319,0.9659282679,1.144873215,0.6194727421,-0.5858249664,0.229617089
-0.9633673314,1.006910267,1.44018361,0.6692054272,-0.748740375,0.2309151143
-1.032657506,1.05732791,1.777739156,0.6688306332,-0.8659522533,0.227794975
-1.069757403,1.120541907,2.279168921,0.6244959235,-0.9309706688,0.2394308597
-1.01199473,1.200072832,2.843320808,0.5557070374,-0.9674106836,0.2695702016
-0.9043374156,1.365170455,3.244370629,0.4909925163,-1.0212183,0.3319688439
-0.7944585524,1.583082261,3.440149221,0.4373734295,-1.117253423,0.4076108634
-0.6327339127,1.758431229,3.428772087,0.3808446229,-1.307936549,0.4703679979
-0.4349651691,1.73504597,3.101784112,0.286100924,-1.558402061,0.4868815243
-0.3507236552,1.50484839,2.610554839,0.1280710548,-1.798242688,0.4321780503
-0.4173452682,1.153821076,2.171544997,-0.09751699865,-1.940737963,0.3329955339
-0.5959634673,0.8549366212,2.018478004,-0.3677013516,-1.937853217,0.206810981
-0.7693976878,0.7124798688,1.838475657,-0.6758430004,-1.823705673,0.06655232608
-0.9331079483,0.618864012,1.393914611,-0.9536402822,-1.602708578,-0.07616034895
-1.087547692,0.5811065283,0.9726198745,-1.144237876,-1.309244514,-0.1818778813
-1.129222203,0.6666011841,0.5348024577,-1.23611033,-1.035695195,-0.2489653081
-0.9468708085,0.8535933899,-0.2029623667,-1.245717645,-0.8640859127,-0.294900924
-0.6687124772,0.8370322773,-1.12215811,-1.194797397,-0.7321563363,-0.3166320324
-0.3737146547,0.4939820793,-1.710830105,-1.07429862,-0.5935510993,-0.326480329
-0.1827797026,0.1551435077,-2.024198719,-0.9176330566,-0.4810764492,-0.3345968425
-0.01493964885,-0.008786679176,-2.217830363,-0.7476165295,-0.4024983048,-0.3505177796
0.1250128656,-0.07403539642,-2.108124957,-0.5948386788,-0.3781852424,-0.354598552
0.2937669655,-0.1082104916,-1.915239748,-0.4546248913,-0.4278856814,-0.3465910852
